severity,category,plugin,rule,filePath,line,column,title,message,help
warning,Bugs,react-doctor,no-uncontrolled-input,app/(public)/audit/[runId]/report/ClaimGate.tsx,91,11,Uncontrolled input value,"Your users can't type in this <input value={...}> because it has no `onChange` or `readOnly`, so add `onChange` (or `readOnly` if that's intended).","Give `useState` a starting value (e.g. `useState(undefinedundefined)` instead of `useState()`), add `onChange` (or `readOnly`) whenever you set `value`, and drop `defaultValue` on controlled inputs since React ignores it."
warning,Bugs,react-doctor,prefer-useReducer,app/(public)/audit/[runId]/report/ClaimGate.tsx,6,91,Many related useState calls,"5 useState calls in undefinedClaimGateundefined can each trigger a separate render.","Group related state: `const [state, dispatch] = useReducer(reducer, { field1, field2, ... })`"
warning,Accessibility,react-doctor,label-has-associated-control,app/(public)/audit/[runId]/report/ClaimGate.tsx,88,11,Label missing associated control,"Screen reader users can't tell which input this label names because it's tied to none, so add `htmlFor` or wrap the input inside it.","Tie every label to a control with `htmlFor`, or by nesting the input."
warning,Accessibility,react-doctor,control-has-associated-label,app/(public)/audit/[runId]/report/ClaimGate.tsx,91,11,Control missing accessible label,"Blind users can't tell what this control does because screen readers find no label, so add visible text, `aria-label`, or `aria-labelledby`.",Give every interactive control a label screen readers can read.
warning,Accessibility,react-doctor,label-has-associated-control,app/(public)/audit/[runId]/report/ClaimGate.tsx,94,11,Label missing associated control,"Screen reader users can't tell which input this label names because it's tied to none, so add `htmlFor` or wrap the input inside it.","Tie every label to a control with `htmlFor`, or by nesting the input."
warning,Accessibility,react-doctor,control-has-associated-label,app/(public)/audit/[runId]/report/ClaimGate.tsx,97,11,Control missing accessible label,"Blind users can't tell what this control does because screen readers find no label, so add visible text, `aria-label`, or `aria-labelledby`.",Give every interactive control a label screen readers can read.
warning,Accessibility,react-doctor,label-has-associated-control,app/(public)/audit/[runId]/report/ClaimGate.tsx,100,11,Label missing associated control,"Screen reader users can't tell which input this label names because it's tied to none, so add `htmlFor` or wrap the input inside it.","Tie every label to a control with `htmlFor`, or by nesting the input."
warning,Accessibility,react-doctor,control-has-associated-label,app/(public)/audit/[runId]/report/ClaimGate.tsx,103,11,Control missing accessible label,"Blind users can't tell what this control does because screen readers find no label, so add visible text, `aria-label`, or `aria-labelledby`.",Give every interactive control a label screen readers can read.
warning,Accessibility,react-doctor,label-has-associated-control,app/(public)/audit/[runId]/report/ClaimGate.tsx,106,11,Label missing associated control,"Screen reader users can't tell which input this label names because it's tied to none, so add `htmlFor` or wrap the input inside it.","Tie every label to a control with `htmlFor`, or by nesting the input."
warning,Accessibility,react-doctor,control-has-associated-label,app/(public)/audit/[runId]/report/ClaimGate.tsx,109,11,Control missing accessible label,"Blind users can't tell what this control does because screen readers find no label, so add visible text, `aria-label`, or `aria-labelledby`.",Give every interactive control a label screen readers can read.
warning,Maintainability,react-doctor,no-inline-exhaustive-style,app/(public)/audit/[runId]/report/ClaimGate.tsx,118,16,Too many inline style properties,"This inline style has 10 properties, which is hard to read & rebuilds every render. Move it to a CSS class, CSS module, or styled component.","Move the styles to a CSS class, CSS module, Tailwind utilities, or a styled component. Big inline objects are hard to read and rebuild on every update."
warning,Bugs,react-doctor,no-cascading-set-state,app/(public)/landing/_components/AnimatedBar.tsx,57,3,Multiple setState calls in one effect,3 setState calls in one useEffect redraw your screen each time they run together.,"Combine into useReducer: `const [state, dispatch] = useReducer(reducer, initialState)`"
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/upload/page.tsx,78,78,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Accessibility,react-doctor,no-tiny-text,app/(auth)/reset/page.tsx,76,17,Text is too small,"Your users strain to read 11px text, so use at least 12px for body text, & 16px is best.","Use at least 12px for body text, and 16px is best. Small text is hard to read, especially on phones."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(auth)/reset/page.tsx,110,14,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Accessibility,react-doctor,label-has-associated-control,app/(auth)/reset/page.tsx,121,17,Label missing associated control,"Screen reader users can't tell which input this label names because it's tied to none, so add `htmlFor` or wrap the input inside it.","Tie every label to a control with `htmlFor`, or by nesting the input."
warning,Accessibility,react-doctor,control-has-associated-label,app/(auth)/reset/page.tsx,122,17,Control missing accessible label,"Blind users can't tell what this control does because screen readers find no label, so add visible text, `aria-label`, or `aria-labelledby`.",Give every interactive control a label screen readers can read.
warning,Maintainability,react-doctor,no-inline-exhaustive-style,app/(auth)/reset/page.tsx,139,24,Too many inline style properties,"This inline style has 11 properties, which is hard to read & rebuilds every render. Move it to a CSS class, CSS module, or styled component.","Move the styles to a CSS class, CSS module, Tailwind utilities, or a styled component. Big inline objects are hard to read and rebuild on every update."
warning,Performance,react-doctor,js-flatmap-filter,app/(app)/chargebacks/page.tsx,49,34,.map().filter(Boolean) loops twice,"This loops over your list twice because .map().filter(Boolean) makes two passes, so use .flatMap() to change & drop items in one pass","Use `.flatMap(item => condition ? [value] : [])` to change and drop items in one pass, instead of building a throwaway array in between"
warning,Performance,react-doctor,jsx-no-jsx-as-prop,app/(app)/chargebacks/page.tsx,77,7,JSX element passed as a prop,This child redraws every render because the prop gets brand new JSX each time.,"Move the JSX outside the component, or wrap it in `useMemo`."
warning,Performance,react-doctor,jsx-no-jsx-as-prop,app/(app)/chargebacks/page.tsx,88,7,JSX element passed as a prop,This child redraws every render because the prop gets brand new JSX each time.,"Move the JSX outside the component, or wrap it in `useMemo`."
warning,Maintainability,react-doctor,design-no-redundant-padding-axes,app/(app)/chargebacks/page.tsx,105,16,Redundant padding axes,px-4 & py-4 are the same.,Collapse `px-N py-N` to `p-N` when both sides match. Keep them split only when one side changes at a breakpoint (`py-2 md:py-3`).
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/chargebacks/page.tsx,154,96,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/chargebacks/page.tsx,159,96,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
warning,Maintainability,react-doctor,no-giant-component,app/(app)/dashboard/page.tsx,236,31,Component is too large,"Component undefinedDashboardPageundefined is 445 lines long, which is hard to read & change. Split it into a few smaller components.","Pull each section into its own component, like `<UserHeader />` and `<UserActions />`."
warning,Performance,react-doctor,js-combine-iterations,app/(app)/dashboard/page.tsx,346,19,Chained array iterations,"This loops over your list twice because .map().filter() makes two passes, so do it in one pass with .reduce() or a for...of loop","Combine `.map().filter()` style chains into one pass with `.reduce()` or a `for...of` loop, so you only loop over the list once"
warning,Accessibility,react-doctor,no-tiny-text,app/(auth)/reset/update/page.tsx,86,17,Text is too small,"Your users strain to read 11px text, so use at least 12px for body text, & 16px is best.","Use at least 12px for body text, and 16px is best. Small text is hard to read, especially on phones."
warning,Accessibility,react-doctor,label-has-associated-control,app/(auth)/reset/update/page.tsx,111,15,Label missing associated control,"Screen reader users can't tell which input this label names because it's tied to none, so add `htmlFor` or wrap the input inside it.","Tie every label to a control with `htmlFor`, or by nesting the input."
warning,Accessibility,react-doctor,control-has-associated-label,app/(auth)/reset/update/page.tsx,112,15,Control missing accessible label,"Blind users can't tell what this control does because screen readers find no label, so add visible text, `aria-label`, or `aria-labelledby`.",Give every interactive control a label screen readers can read.
warning,Accessibility,react-doctor,label-has-associated-control,app/(auth)/reset/update/page.tsx,123,15,Label missing associated control,"Screen reader users can't tell which input this label names because it's tied to none, so add `htmlFor` or wrap the input inside it.","Tie every label to a control with `htmlFor`, or by nesting the input."
warning,Accessibility,react-doctor,control-has-associated-label,app/(auth)/reset/update/page.tsx,124,15,Control missing accessible label,"Blind users can't tell what this control does because screen readers find no label, so add visible text, `aria-label`, or `aria-labelledby`.",Give every interactive control a label screen readers can read.
warning,Maintainability,react-doctor,no-inline-exhaustive-style,app/(auth)/reset/update/page.tsx,141,22,Too many inline style properties,"This inline style has 11 properties, which is hard to read & rebuilds every render. Move it to a CSS class, CSS module, or styled component.","Move the styles to a CSS class, CSS module, Tailwind utilities, or a styled component. Big inline objects are hard to read and rebuild on every update."
warning,Maintainability,react-doctor,prefer-module-scope-static-value,app/(app)/help/identity-matching/page.tsx,18,9,Static value rebuilt every render,"`map` inside `UniquenessChip` uses no local state but is rebuilt every render, so it looks new each time & breaks memoized children. Move it to the top of the file, outside the component.","Move the value above the component, at the top of the file. It doesn't use local state, so rebuilding it each update is wasted and makes it look new every time."
warning,Maintainability,react-doctor,design-no-em-dash-in-jsx-text,app/(app)/help/identity-matching/page.tsx,86,14,Em dash in JSX text,Em dash (—) in UI text reads like AI output to your users.,"Replace em dashes in UI text with commas, colons, semicolons, or parentheses so the copy reads less like AI output."
