area,observed_location,status,p00_decision_or_dependent_phase
generated_financial_value_schema,"lib/financial; lib/finance",NOT_PRESENT,"P02 owns KnownAtomic/KnownDerived/Unavailable branches and generated decoder"
registered_metrics,"lib/financial/contract.ts; lib/canonical/intelligence.ts",PARTIAL,"P02 reconciles all v1.1 metric IDs and exact decimal rules"
registered_chart_measures,"components/charts; lib/visualisation",NOT_PRESENT,"P02 generates server measures; P03 implements V01-V08"
lossless_decimal_fx,"integer minor units in lib/financial and number-based legacy paths",PARTIAL,"ADR-P00-004 preserves current code while P02 implements required decimal/FX authority"
server_permissions,"lib/permissions; route guards; RLS migrations",PRESENT,"P02 hardens capability/version/segregation contract"
audit_outbox,"lib/permissions/audit.ts; lib/events; durable audit migrations",PRESENT,"P02 proves transactional mutation parity"
idempotency,"route handlers; event/outbox helpers; database constraints",PARTIAL,"P02 centralises preview/commit binding and rapid-submit proof"
exports,"reports and audit endpoints",PARTIAL,"P05-P08 exact shared-query parity"
migration_capability,"supabase/migrations; migration verification/rehearsal scripts",PRESENT,"P12 owns v2 migration/cutover"
generated_route_registry,"lib/navigation/appRoutes.ts; Next filesystem; redirects",NOT_PRESENT,"P04 owns one typed generated registry; P00 routes.json is inventory only"
universal_read_mutation_state_machine,"shared components and route-specific reducers",PARTIAL,"P04 owns canonical state machines"
feature_flag_registry,"lib/utils/env.ts plus direct environment reads",PARTIAL,"ADR-P00-009 preserves current flags; P04 owns certification lock"
observability,"lib/observability; Amplitude; Sentry dependency; route telemetry",PRESENT,"ADR-P00-010; later phases close evidence requirements"
secret_manager,"environment/Vercel/Supabase conventions; no ratified product secret manager record",EXTERNAL_BLOCKER,"P00-DEFER-003 before P10 credential persistence"
deployment_command,"vercel.json; no deploy script",NOT_PRESENT,"ADR-P00-011 records external locked deployment mechanism"
