Company Name,Company Domain,Category,Subcategory,Region,Target Tier,Design Partner Fit,Primary Pain Hypothesis,Suggested Buyer Titles,Existing Clay Signal
MANSCAPED,manscaped.com,Personal Care,Grooming,US,Design Partner A,95,High-volume DTC support plus subscription and returns complexity,VP Customer Experience; Head of Customer Care; VP Ecommerce,Current
Beauty Pie,beautypie.com,Beauty,Skincare and cosmetics,UK/US,Design Partner A,94,Membership model creates recurring service and refund pressure,VP Customer Experience; Head of Member Happiness; COO,Current
Medik8,medik8.com,Beauty,Skincare,UK/US,Design Partner A,93,Premium product education and post-purchase support require high-touch CX,Chief Customer Officer; Head of CX; VP Ecommerce,Current
Away,awaytravel.com,Fashion,Travel goods,US,Design Partner B,88,High-consideration products create delivery warranty and returns workload,VP Customer Experience; VP CX Operations; VP Ecommerce,Current
Quince,quince.com,Fashion,Apparel and home,US,Design Partner B,87,Wide catalog and fast growth create returns and service consistency pressure,VP CX; Director CX Enablement; VP Operations,Current
Princess Polly,princesspolly.com,Fashion,Apparel,US/AU,Design Partner A,91,High-volume fashion returns and delivery questions can overwhelm CX teams,Head of Customer Experience; Director Customer Care; VP Ecommerce,Current
AllSaints,allsaints.com,Fashion,Apparel and accessories,UK/US,Design Partner B,84,Omnichannel returns and international delivery create fragmented support,Director Customer Experience; Head of Ecommerce; Head of Operations,New
Gymshark,gymshark.com,Fashion,Activewear,UK/US,Design Partner A,95,Global DTC scale makes returns prevention and service automation valuable,VP Customer Experience; Director Ecommerce; VP Operations,New
Oh Polly,ohpolly.com,Fashion,Apparel,UK/US,Design Partner A,93,Fast fashion demand creates high return volume and delivery-status contacts,Head of CX; Director Customer Care; Head of Ecommerce,New
Lounge,lounge.com,Fashion,Lingerie and apparel,UK/US,Design Partner A,92,Fit-sensitive products drive returns exchanges and support volume,Head of Customer Experience; Head of Ecommerce; COO,New
Represent,representclo.com,Fashion,Streetwear and apparel,UK/US,Design Partner A,89,Limited drops and premium orders create delivery and returns urgency,Director CX; Head of Ecommerce; Operations Director,New
Missoma,missoma.com,Fashion,Jewellery,UK/US,Design Partner A,88,High-consideration jewellery orders need proactive delivery and returns support,Head of Customer Experience; Director Ecommerce; Operations Director,New
Rixo,rixo.co.uk,Fashion,Apparel,UK/US,Design Partner A,87,Fit and international shipping create preventable returns and service demand,Head of Customer Experience; Ecommerce Director; Operations Director,New
Nobodys Child,nobodyschild.com,Fashion,Apparel,UK,Design Partner A,86,Apparel returns and sustainability expectations increase CX workload,Head of CX; Head of Ecommerce; Operations Manager,New
Lucy and Yak,lucyandyak.com,Fashion,Apparel,UK/US,Design Partner A,85,Community-led DTC growth needs scalable support and returns handling,Head of Customer Experience; Ecommerce Lead; Operations Lead,New
Finisterre,finisterre.com,Fashion,Outdoor apparel,UK/US,Design Partner B,82,Technical products create education delivery and returns questions,Head of Customer Experience; Ecommerce Director; Operations Director,New
Pangaia,pangaia.com,Fashion,Apparel,UK/US,Design Partner B,81,International DTC growth creates delivery and returns complexity,VP Customer Experience; Head of Ecommerce; Global Operations Director,New
Cult Beauty,cultbeauty.co.uk,Beauty,Beauty retail,UK/US,Design Partner A,92,Large SKU count and product questions drive support and refund workload,Director Customer Experience; Head of Customer Care; Ecommerce Director,New
Space NK,spacenk.com,Beauty,Beauty retail,UK/US,Design Partner B,86,Omnichannel beauty support needs consistent post-purchase resolution,Head of Customer Experience; Head of Digital; Operations Director,New
Lookfantastic,lookfantastic.com,Beauty,Beauty retail,UK/US,Design Partner B,85,Subscription and international fulfilment create repeat service contacts,VP Customer Experience; Director Customer Care; VP Ecommerce,New
Glossier,glossier.com,Beauty,Skincare and cosmetics,US/UK,Design Partner A,93,Community-led beauty demand creates high expectations for fast support and refunds,VP Customer Experience; Head of Customer Care; VP Ecommerce,New
BYOMA,byoma.com,Beauty,Skincare,US/UK,Design Partner A,88,Rapid growth and education-heavy skincare purchases create service demand,Head of CX; Director Ecommerce; Operations Director,New
Facetheory,facetheory.com,Beauty,Skincare,UK/US,Design Partner A,87,Regimen questions and repeat orders create support and retention pressure,Head of Customer Experience; Head of Retention; COO,New
Dr Sam's,drsambunting.com,Beauty,Skincare,UK/US,Design Partner A,84,High-trust skincare needs proactive education and post-purchase support,Head of CX; Ecommerce Director; Operations Director,New
Pai Skincare,paiskincare.com,Beauty,Skincare,UK/US,Design Partner A,83,Sensitive-skin products generate education exchanges and refund conversations,Head of Customer Experience; Head of Ecommerce; Operations Lead,New
Wild,wearewild.com,Personal Care,Refillable personal care,UK/US,Design Partner A,91,Subscription and refill logistics create recurring delivery and churn pain,Head of Customer Experience; Head of Retention; COO,New
Fussy,fussy.com,Personal Care,Refillable personal care,UK/US,Design Partner A,89,Subscription replenishment creates preventable support and cancellation volume,Head of CX; Head of Retention; Ecommerce Director,New
Estrid,estrid.com,Personal Care,Shaving and body care,UK/US,Design Partner B,86,Subscription and fit-sensitive products increase returns and cancellation contacts,VP Customer Experience; Head of Ecommerce; Operations Director,New
Hairburst,hairburst.com,Beauty,Haircare,UK/US,Design Partner A,86,Repeat-purchase beauty products create delivery subscription and refund demand,Head of Customer Experience; Head of Retention; Ecommerce Director,New
Color Wow,colorwowhair.com,Beauty,Haircare,US/UK,Design Partner B,82,Premium haircare education and international delivery create support needs,Head of Customer Care; Ecommerce Director; Operations Director,New
